model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
glm-5.1,9b3c0e6b,astma_bij_volwassenen,25.2712,2233,1255,0,49.66,0.00605
glm-5.1,ac94c9ae,COPD,17.7828,1165,2504,0,140.81,0.00885
glm-5.1,6908c047,hartfalen,26.6515,72,1158,0,43.45,0.00364
glm-5.1,1b693ef1,diabetes,59.3654,1932,2869,0,48.33,0.01073
glm-5.1,c24332e6,angst,61.0906,1348,2752,0,45.05,0.00980
glm-5.1,2df177a8,astma_bij_volwassenen,25.2108,609,881,0,34.95,0.00331
glm-5.1,87e83714,diabetes,21.8713,2979,992,0,45.36,0.00597
glm-5.1,4aea86ff,dementie,53.1586,79,1539,0,28.95,0.00482
glm-5.1,0ac64149,dementie,28.7494,1317,1324,0,46.05,0.00537
glm-5.1,b2138576,hartfalen,50.9656,1441,1839,0,36.08,0.00708
glm-5.1,101bdce9,diabetes,40.2495,4241,1489,0,36.99,0.00874
glm-5.1,cd538c35,angst,19.8927,1639,1086,0,54.59,0.00495
glm-5.1,40d6daea,depressie,25.0729,1940,2111,0,84.19,0.00840
glm-5.1,c4533825,dementie,12.5586,55,2065,0,164.43,0.00641
glm-5.1,eb7f73d1,astma_bij_volwassenen,30.7862,69,1403,0,45.57,0.00439
glm-5.1,c6160c00,hartfalen,32.1735,648,647,0,20.11,0.00263
glm-5.1,b7f58cf2,depressie,9.5759,1307,1549,0,161.76,0.00605
glm-5.1,accae3ba,angst,24.6355,2052,1156,0,46.92,0.00557
glm-5.1,9877ae46,diabetes,34.5253,1184,1473,0,42.66,0.00570
glm-5.1,a4905a6b,dementie,360.6505,896,1468,0,4.07,0.00540
glm-5.1,7414baae,hand-en-polsklachten,9.4389,4336,775,0,82.11,0.00664
glm-5.1,eb7fa484,dementie,30.6742,936,1460,0,47.6,0.00541
glm-5.1,2335fd98,chronische nierschade,56.6961,2291,1597,0,28.17,0.00716
